sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;lÃ­nea_credito
F;industrial;fabrica de;belen;3;16.0;2018-02-26;3500000.0;microempresarial
F;servicio;miscelanea;santo domingo savio;2;1.0;2017-08-24;6000000.0;microempresarial
F;comercial;tienda;san javier no.1;1;13.0;2017-12-05;4000000.0;microempresarial
F;servicio;ebanistaria;20 de julio;2;13.0;2016-08-25;5800000.0;microempresarial
F;comercial;restaurante;robledo;2;7.0;2017-07-24;7000000.0;Microempresarial
F;comercial;panaderia;enciso;1;8.0;2016-10-27;6500000.0;microempresarial
F;industrial;fabrica de;san javier no.1;1;13.0;2018-07-06;5000000.0;microempresarial
F;servicio;panaderia;buenos aires;2;9.0;2017-06-09;3000000.0;microempresarial
F;comercial;variedades;antonio nariã±o;1;13.0;2018-05-04;780000.0;microempresarial
F;comercial;variedades;robledo;2;7.0;2018-11-20;4500000.0;microempresarial
F;comercial;variedades;robledo;1;7.0;2018-11-01;3000000.0;microempresarial
F;comercial;comidas rapidas;moravia;1;4.0;2017-06-23;7377000.0;microempresarial
F;servicio;fotografia;buenos aires;1;9.0;2017-05-10;7000000.0;microempresarial
F;comercial;almacen de ropa en;tejelo;3;5.0;2017-11-10;7000000.0;microempresarial
F;comercial;montallantas;manrique central no. 1;2;4.0;2019-05-15;1175000.0;microempresarial
F;industrial;fabrica de;aranjuez;3;4.0;2018-11-01;3000000.0;microempresarial
F;comercial;variedades;las palmas;2;19.0;2017-03-02;7000000.0;microempresarial
F;servicio;peluqueria;enciso;1;8.0;2018-11-23;7000000.0;microempresarial
F;comercial;cafe e internet;enciso;3;8.0;2016-07-12;5000000.0;microempresarial
F;servicio;restaurante;belencito;1;13.0;2016-10-07;6890000.0;microempresarial
F;industrial;fabrica de;alfonso lopez;3;5.0;2017-12-28;7300000.0;microempresarial
F;comercial;tienda;castilla;3;5.0;2018-02-14;7800000.0;microempresarial
F;comercial;variedades;san diego;2;10.0;2017-11-21;7370000.0;microempresarial
F;servicio;variedades;manrique oriental;1;3.0;2018-04-17;7800000.0;microempresarial
F;comercial;variedades;manrique central no. 1;2;4.0;2016-11-08;6000000.0;microempresarial
F;industrial;fabrica de;la_floresta;3;12.0;2017-03-09;7370000.0;MICROEMPRESARIAL
F;comercial;tienda;enciso;2;8.0;2016-09-12;6890000.0;microempresarial
F;comercial;tienda;santa cruz;2;2.0;2019-03-18;5000000.0;microempresarial
F;servicio;fabrica de;robledo;1;7.0;2018-04-20;7000000.0;microempresarial
F;comercial;peluqueria;robledo;2;7.0;2017-05-11;7377000.0;microempresarial
F;industrial;fabrica de;manrique oriental;2;3.0;2019-06-18;7800000.0;microempresarial
F;comercial;granero;loreto;3;9.0;2018-04-18;7800000.0;microempresarial
F;comercial;almacen de ropa en;robledo;1;7.0;2019-05-03;8200000.0;microempresarial
F;industrial;fabrica de;20 de julio;2;13.0;2018-05-03;7800000.0;microempresarial
F;comercial;variedades;manrique central no. 1;1;4.0;2018-02-06;5200000.0;microempresarial
F;servicio;fabrica de;popular;2;1.0;2017-06-09;6000000.0;Microempresarial
F;comercial;fabrica de calzado;villa niza;1;2.0;2018-02-13;4000000.0;microempresarial
F;servicio;recreativo-educativo;aranjuez;2;4.0;2017-09-12;7300000.0;microempresarial
F;comercial;productos de belleza;belen;1;4.0;2019-02-04;4000000.0;microempresarial
F;servicio;peluqueria;belencito;1;13.0;2018-08-02;6000000.0;microempresarial
F;comercial;variedades;san-isidro;3;4.0;2018-03-21;7000000.0;microempresarial
F;comercial;almacen de ropa en;blanquizal;1;13.0;2016-01-25;6800000.0;microempresarial
F;comercial;tienda;campo valdes no. 1;2;4.0;2018-02-01;7800000.0;microempresarial
F;comercial;fabrica de;belencito;2;13.0;2017-12-07;6000000.0;microempresarial
F;industrial;fabrica de calzado;aranjuez;3;4.0;2016-12-14;4000000.0;microempresarial
F;comercial;comidas rapidas;enciso;1;8.0;2018-11-06;1800000.0;microempresarial
F;comercial;comidas rapidas;villa hermosa;3;8.0;2018-05-11;6000000.0;microempresarial
F;servicio;peluqueria;aranjuez;3;4.0;2017-09-14;5000000.0;microempresarial
F;servicio;peluqueria;doce de octubre no.1;1;6.0;2016-10-27;6000000.0;microempresarial
F;comercial;productos de belleza;aranjuez;1;4.0;2019-03-13;8000000.0;microempresarial
F;comercial;tienda;la libertad;2;8.0;2017-12-20;5000000.0;microempresarial
F;servicio;papeleria;cabecera_san_antonio_;3;19.0;2016-10-07;5000000.0;microempresarial
F;comercial;variedades;la avanzada;1;1.0;2016-10-06;6890000.0;microempresarial
F;comercial;variedades;tejelo;1;5.0;2016-07-26;6890000.0;microempresarial
F;industrial;fabrica de;buenos_aires;1;9.0;2016-12-07;6500000.0;microempresarial
F;comercial;comidas rapidas;aranjuez;1;4.0;2017-06-23;2000000.0;microempresarial
F;industrial;fabrica de;cabecera san cristobal;1;19.0;;2000000.0;microempresarial
F;servicio;cafe_e_internet;manrique central no. 2;2;3.0;2016-09-14;6890000.0;microempresarial
F;comercial;comidas rapidas;el chagualo;3;10.0;2016-11-01;6800000.0;microempresarial
F;servicio;productos de belleza;lopez de mesa;3;7.0;;7800000.0;microempresarial
F;agropecuario;viveros;san javier no.1;2;13.0;2016-06-08;6500000.0;agropecuaria
F;servicio;comidas rapidas;castilla;3;5.0;2018-03-20;7800000.0;microempresarial
F;industrial;fabrica de;aranjuez;1;4.0;2016-04-05;6500000.0;microempresarial
F;comercial;variedades;la avanzada;1;1.0;2018-07-25;3000000.0;microempresarial
F;comercial;peluqueria;robledo;1;7.0;2019-01-22;8000000.0;microempresarial
F;comercial;tienda;cabecera san antonio;2;19.0;2016-07-12;5000000.0;microempresarial
F;agropecuario;criadero de animales;cabecera san cristobal;2;19.0;2018-10-25;11650000.0;agropecuaria
F;comercial;comidas rapidas;nuevos conquistadores;1;13.0;2017-04-18;1500000.0;microempresarial
F;servicio;peluqueria;enciso;1;8.0;2018-11-15;6000000.0;microempresarial
F;comercial;variedades;playon_de_los_;2;2.0;2018-06-06;3000000.0;microempresarial
F;comercial;variedades;manrique central no. 2;1;3.0;2018-04-18;5500000.0;microempresarial
F;comercial;restaurante;la colina;2;15.0;;7000000.0;microempresarial
F;comercial;tienda naturista;san javier no.1;1;13.0;2018-10-25;2000000.0;microempresarial
F;industrial;fabrica de;moravia;1;4.0;2018-03-15;4000000.0;microempresarial
F;servicio;comidas rapidas;cabecera san antonio;3;19.0;2016-08-08;6000000.0;microempresarial
F;industrial;fabrica_de_;aranjuez;2;4.0;;3400000.0;microempresarial
F;industrial;fabrica de;castilla;2;5.0;2017-07-31;4500000.0;microempresarial
F;comercial;tienda;villa hermosa;3;8.0;;7300000.0;microempresarial
F;comercial;variedades;robledo;1;7.0;2017-01-25;6000000.0;microempresarial
